Title,Author,Avg_Rating,Total_Ratings,Votes,Score
"Sandstorm (Sigma Force, #1)",James Rollins,3.96,54471,8,650
"The Reluctant Dom (Suncoast Society, #4)",Tymber Dalton,4.17,9512,7,650
Second Glance,Jodi Picoult,3.8,50444,9,650
The Unicorn Tree,Cynthia  Collins,4.42,195,7,650
The Rule of Four,Ian Caldwell,3.29,38527,8,650
How to Make Friends with the Dark,Kathleen Glasgow,4.07,40924,7,650
"Twisted Games (Twisted, #2)",Ana Huang,4.08,1047222,7,650
Small Sacrifices,Ann Rule,4.26,32255,8,649
The Good Soldier: A Tale of Passion,Ford Madox Ford,3.67,28663,10,649
"Tunnels of Blood (Cirque du Freak, #3)",Darren Shan,4.15,42002,8,649
Garlic and Sapphires: The Secret Life of a Critic in Disguise,Ruth Reichl,3.94,48133,7,649
"Beyond the Highland Mist (Highlander, #1)",Karen Marie Moning,3.95,72976,11,649
Disclosure,Michael Crichton,3.8,74547,9,649
"The Summer Tree (The Fionavar Tapestry, #1)",Guy Gavriel Kay,3.96,26542,8,649
A Different Blue,Amy Harmon,4.24,38928,8,649
Ramayana,Vālmīki,4.19,5322,8,649
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,3.91,1050120,7,649
"Unraveled (Keeper of the Lost Cities, #9.5)",Shannon Messenger,4.22,11743,7,649
The Firebrand,Marion Zimmer Bradley,4.07,11425,7,648
No Great Mischief,Alistair MacLeod,4.02,12209,9,648
The Complete Tales,Beatrix Potter,4.36,66028,13,648
The Walking Drum,Louis L'Amour,4.24,10044,8,648
The Shock of the Fall,Nathan Filer,3.76,49390,7,648
"Every Last Breath (The Dark Elements, #3)",Jennifer L. Armentrout,4.19,53308,8,648
"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,4.44,107302,8,648
There There,Tommy Orange,3.97,223125,7,648
And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,4.33,120607,7,648
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,763149,7,648
Supernova: Akar,Dee Lestari,3.88,10726,7,647
If Chins Could Kill: Confessions of a B Movie Actor,Bruce Campbell,3.95,18762,8,647
"Barrayar (Vorkosigan Saga, #7)",Lois McMaster Bujold,4.3,30836,9,647
Twisted Love,Wally Runnels,4.16,203,7,647
The Improbable Wonders of Moojie Littleman,Robin  Gregory,4.23,582,7,647
We Were the Lucky Ones,Georgia Hunter,4.42,195582,7,647
"The Poison Jungle (Wings of Fire, #13)",Tui T. Sutherland,4.38,21080,9,647
"All the Young Dudes - Volume Two: Years 5 - 7 (All the Young Dudes, #2)",MsKingBean89,4.79,21459,7,647
"Gilded (Gilded, #1)",Marissa Meyer,3.86,55993,7,647
The Futurological Congress: From the Memoirs of Ijon Tichy,Stanisław Lem,4.17,14819,7,646
"The Autobiography of Henry VIII: With Notes by His Fool, Will Somers",Margaret George,4.26,28841,7,646
"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,3.87,68664,8,646
"Crooked Letter, Crooked Letter",Tom Franklin,3.83,46233,8,646
"Going Clear: Scientology, Hollywood, and the Prison of Belief",Lawrence Wright,4.04,44941,8,646
"City Spies (City Spies, #1)",James Ponti,4.29,16172,7,646
Think Like a Freak,Steven D. Levitt,3.86,56096,7,646
"Perfect Storm (Alaska Wild, #6)",Paige Shelton,3.95,1391,7,646
The Adventures of Augie March,Saul Bellow,3.84,18877,7,645
The Hummingbird's Daughter,Luis Alberto Urrea,4.21,14502,7,645
"Goddess Interrupted (Goddess Test, #2)",Aimee Carter,3.98,31900,8,645
"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,4.19,29870,8,645
The Edible Woman,Margaret Atwood,3.7,40406,9,645
Good Wives,Louisa May Alcott,3.98,49101,10,645
"Echo (Soul Seekers, #2)",Alyson Noel,3.88,7442,9,645
"Malice (The Faithful and the Fallen, #1)",John Gwynne,4.17,57040,9,645
"The Fall of the Phoenix (Heroes of Troy, #1)",Daniel  Kelly,4.4,298,7,645
Planet of the Apes,Pierre Boulle,3.99,48622,11,645
El llano en llamas,Juan Rulfo,4.2,25991,7,644
"The Cardinal of the Kremlin (Jack Ryan, #4)",Tom Clancy,4.1,60558,10,644
"Seduce Me at Sunrise (The Hathaways, #2)",Lisa Kleypas,4.04,47782,10,644
"Intuition (The Premonition, #2)",Amy A. Bartol,4.26,26311,7,644
"Excalibur (The Warlord Chronicles, #3)",Bernard Cornwell,4.44,30945,8,644
Headhunters,Jo Nesbø,3.79,39645,8,644
The Drunkard's Walk: How Randomness Rules Our Lives,Leonard Mlodinow,3.95,24358,7,644
Just a Typo: The Cancellation of Celebrity Mo Riverlake,John Bennardo,4.29,191,8,644
"The Grandest Game (The Grandest Game, #1)",Jennifer Lynn Barnes,3.94,67927,7,644
"London Bridges (Alex Cross, #10)",James  Patterson,3.98,55091,9,643
فوضى الحواس,Ahlam Mosteghanemi,3.78,19994,7,643
Like the Flowing River,Paulo Coelho,3.91,21904,7,643
"The Vampire Prince (Cirque Du Freak, #6)",Darren Shan,4.23,32475,8,643
The Joke,Milan Kundera,4.03,40368,8,643
"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,3.8,69702,7,643
The Night Circus,Erin Morgenstern,4.0,1092171,7,643
The Invisible Life of Addie LaRue,V.E. Schwab,4.17,1479484,7,643
The Image: A Quantum Portal Has Opened,Guy  Morris,4.4,281,7,643
"The Hollow (Hercule Poirot, #26)",Agatha Christie,3.8,43384,9,642
"Sent (The Missing, #2)",Margaret Peterson Haddix,3.94,18089,9,642
The Time of My Life,Cecelia Ahern,3.86,22492,7,642
"The Matarese Circle (Matarese, #1)",Robert Ludlum,4.07,42253,8,642
Being and Nothingness,Jean-Paul Sartre,3.99,34911,12,642
Burmese Days,George Orwell,3.87,32206,8,642
The Immortalists,Chloe  Benjamin,3.71,219609,7,642
The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.76,2331,8,641
"Storm Warning (The 39 Clues, #9)",Linda Sue Park,4.01,47858,9,641
"Fate (My Blood Approves, #2)",Amanda Hocking,3.97,21683,8,641
The Temple of My Familiar,Alice Walker,4.05,14962,8,640
When Crickets Cry,Charles Martin,4.38,68214,7,640
"So B. It (So B. It, #1)",Sarah Weeks,4.12,36088,7,640
Pants on Fire,Meg Cabot,3.65,18175,9,640
The Feast of All Saints,Anne Rice,3.88,18656,8,639
"Behemoth (Leviathan, #2)",Scott Westerfeld,4.17,41346,8,639
"Wideacre  (The Wideacre Trilogy, #1)",Philippa Gregory,3.36,26757,8,639
"Taggerung (Redwall, #14)",Brian Jacques,4.17,16968,9,639
"Curse of the Bane (The Last Apprentice / Wardstone Chronicles, #2)",Joseph  Delaney,4.13,32693,8,639
"Exit Music (Inspector Rebus, #17)",Ian Rankin,4.13,18019,7,639
More Than Human,Theodore Sturgeon,3.93,19412,10,638
"Sever (The Chemical Garden, #3)",Lauren DeStefano,3.78,27039,7,638
"The Monster in the Hollows (The Wingfeather Saga, #3)",Andrew       Peterson,4.68,19264,7,638
Sawkill Girls: A Bram Stoker Nominee―A Dark YA Horror Story of Queer Love and Female Survival,Claire Legrand,3.66,19240,7,638
The Flatshare,Beth O'Leary,3.98,454625,7,638
"A Perilous Undertaking (Veronica Speedwell, #2)",Deanna Raybourn,4.09,33441,8,638
"The Robots of Dawn (Robot, #3)",Isaac Asimov,4.2,54736,9,637
Danse Macabre,Stephen  King,3.67,31193,9,637
172 Hours on the Moon,Johan Harstad,3.53,14731,7,637
Drop City,T. Coraghessan Boyle,3.83,15226,7,637
The Astonishing Color of After,Emily X.R. Pan,4.04,33842,7,637
"The War I Finally Won (The War That Saved My Life, #2)",Kimberly Brubaker Bradley,4.48,46833,8,637
My Loose Thread,Dennis Cooper,3.76,1299,8,637
"Heartless (Tales of Goldstone Wood, #1)",Anne Elisabeth Stengl,3.76,3595,7,636
Civilization and Its Discontents,Sigmund Freud,3.79,44332,9,636
La casa de Bernarda Alba,Federico García Lorca,3.89,48952,7,636
"Dead Simple (Roy Grace, #1)",Peter James,4.06,31171,9,636
Kiss of the Spider Woman,Manuel Puig,4.02,22055,9,636
Stepping Beyond Intention,Daniel Mangena,4.28,103,7,636
"Dark Fire (Dark, #6)",Christine Feehan,4.32,24243,8,635
From Here to Eternity: Traveling the World to Find the Good Death,Caitlin Doughty,4.3,46403,8,635
Grunt: The Curious Science of Humans at War,Mary Roach,3.94,23320,7,635
Survive the Night,Riley Sager,3.52,182191,7,635
"Crookedstar's Promise (Warriors Super Edition, #4)",Erin Hunter,4.56,12867,8,634
Death by Black Hole: And Other Cosmic Quandaries,Neil deGrasse Tyson,4.1,32196,8,634
The Art of Being Normal,Lisa  Williamson,3.9,20384,7,634
H is for Hawk,Helen Macdonald,3.74,80380,8,634
"Pop Goes the Weasel (Helen Grace, #2)",M.J. Arlidge,4.13,27617,8,634
"One of Us Is Lying (One of Us Is Lying, #1)",Karen M. McManus,3.91,1050120,7,634
The Storyteller: Tales of Life and Music,Dave Grohl,4.44,166549,7,634
"Knots and Crosses (Inspector Rebus, #1)",Ian Rankin,3.8,57302,9,633
"Out of the Dark (The Grey Wolves, #4)",Quinn Loftis,4.47,16666,8,633
"Dinner with a Vampire (The Dark Heroine, #1)",Abigail Gibbs,3.71,12028,7,633
On the Shortness of Life: Life Is Long if You Know How to Use It,Seneca,4.16,45004,8,633
"The Maze Runner Trilogy (Maze Runner, #1-3)",James Dashner,4.18,9110,7,633
"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #13)",Michael    Connelly,4.22,68567,8,633
A Woman to Blame,Vincent Panettiere,4.34,223,7,633
The Silent Patient,Alex Michaelides,4.17,3186025,7,633
"Eldvittnet (Joona Linna, #3)",Lars Kepler,4.12,29445,8,633
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,3.78,476598,7,633
Carrion Comfort,Dan Simmons,3.91,25378,8,632
The Black Book,Orhan Pamuk,3.93,13231,7,632
Why I Am Not a Christian and Other Essays on Religion and Related Subjects,Bertrand Russell,4.0,22316,8,632
Lesson II (Lessons #2),Julie Mannino,3.99,70,8,632
I Kissed Dating Goodbye,Joshua Harris,3.49,21418,7,631
Shirley,Charlotte Brontë,3.75,36718,9,631
"The Apothecary (The Apothecary, #1)",Maile Meloy,4.07,15223,7,631
"Blood Rites (The Grey Wolves, #2)",Quinn Loftis,4.38,22716,8,631
11.22.63,Stephen  King,4.35,644067,7,631
"Green River, Running Red",Ann Rule,4.0,20232,7,630
The Cantos,Ezra Pound,3.92,5399,7,630
"Micah (Anita Blake, Vampire Hunter, #13)",Laurell K. Hamilton,3.68,47867,10,630
"Dance with a Vampire (Vampire Kisses, #4)",Ellen Schreiber,4.02,26049,11,630
"Vampireville (Vampire Kisses, #3)",Ellen Schreiber,3.93,25065,10,630
Bleeding Violet,Dia Reeves,3.64,5586,7,630
"Point of Impact (Bob Lee Swagger, #1)",Stephen Hunter,4.29,19069,8,630
Underground: The Tokyo Gas Attack and the Japanese Psyche,Haruki Murakami,3.91,22355,8,630
A Modest Proposal,Jonathan Swift,4.02,49094,9,630
"Murder of Crows (The Others, #2)",Anne Bishop,4.27,46769,8,630
Humankind: A Hopeful History,Rutger Bregman,4.32,79096,7,630
"Curtain (Hercule Poirot, #44)",Agatha Christie,4.1,49713,8,629
La vida de Lazarillo de Tormes,Anonymous (Lazarillo de Tormes),3.51,35280,8,629
"The Crown Tower (The Riyria Chronicles, #1)",Michael J. Sullivan,4.33,42925,7,629
"The Secret of Chimneys (Superintendent Battle, #1)",Agatha Christie,3.84,33470,8,629
"The Last Town (Wayward Pines, #3)",Blake Crouch,4.09,90331,8,629
The Fountains of Silence,Ruta Sepetys,4.31,81658,7,629
Loki: Where Mischief Lies,Mackenzi Lee,3.91,18386,7,629
Wedding Night,Sophie Kinsella,3.48,101935,7,628
"Beautiful Broken Things (Beautiful Broken Things, #1)",Sara  Barnard,3.75,11097,7,628
"Quests for Glory (The School for Good and Evil: The Camelot Years, #1)",Soman Chainani,4.09,28588,8,628
"Endless Knight (The Arcana Chronicles, #2)",Kresley Cole,4.35,25678,8,628
Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,Sheri Fink,3.93,40700,7,628
The Hunting Party,Lucy Foley,3.6,355600,10,628
"The Sinner (L.O.R.D.S., #2)",Shantel Tessier,4.03,162377,7,628
"Shield of Thunder (Troy, #2)",David Gemmell,4.38,11405,9,627
De donkere kamer van Damokles,Willem Frederik Hermans,3.8,14475,7,627
My Life in France,Julia Child,4.16,93048,8,627
"The Black Circle (The 39 Clues, #5)",Patrick Carman,4.01,52917,9,627
The Last Question,Isaac Asimov,4.53,29886,7,627
"Look Into My Eyes (Ruby Redfort, #1)",Lauren Child,4.23,8848,7,627
"Lick (Stage Dive, #1)",Kylie Scott,4.04,93993,9,627
The Piano Teacher,Elfriede Jelinek,3.61,16197,8,627
Prince of Pain IV (Prince of Pain #4),Julie Mannino,3.87,138,9,627
Big Swiss,Jen Beagin,3.68,140386,7,627
"B is for Burglar (Kinsey Millhone, #2)",Sue Grafton,3.89,60472,8,627
"King Henry IV, Part 1",William Shakespeare,3.8,33185,10,626
"Entice (Need, #3)",Carrie Jones,4.02,31927,10,626
The Year of the Death of Ricardo Reis,José Saramago,3.99,14866,7,626
Portrait of a Killer: Jack the Ripper - Case Closed,Patricia Cornwell,3.48,35840,9,625
"The Diamond of Darkhold (Book of Ember, #4)",Jeanne DuPrau,3.82,30974,8,625
The Twelve Chairs,Ilya Ilf,4.39,24407,9,625
"Skellig (Skellig, #1)",David Almond,3.81,30771,7,625
Homeless Bird,Gloria Whelan,4.01,14835,7,625
"Three Act Tragedy (Hercule Poirot, #11)",Agatha Christie,3.84,48568,7,625
Feed,M.T. Anderson,3.55,67894,8,625
"The Persian Boy (Alexander the Great, #2)",Mary Renault,4.18,11141,7,625
"Wayward (Wayward Pines, #2)",Blake Crouch,4.16,99272,7,625
Dune (Dune #1),Frank Herbert,4.29,1614650,8,625
A Man Without a Country,Kurt Vonnegut Jr.,4.1,49785,8,624
"Midnight's Daughter (Dorina Basarab, #1)",Karen Chance,4.0,20272,7,624
Absolute Power,David Baldacci,4.21,113605,7,624
"Hereafter (Hereafter, #1)",Tara Hudson,3.71,17073,7,624
Come as You Are: The Surprising New Science that Will Transform Your Sex Life,Emily Nagoski,4.28,85131,7,624
"The Hollow Boy (Lockwood & Co., #3)",Jonathan Stroud,4.38,35896,7,624
"Penis Politics: A Memoir of Women, Men and Power",Karen  Hinton,4.27,718,7,624
"Silent in the Grave (Lady Julia Grey, #1)",Deanna Raybourn,3.91,27578,8,623
"Love Bites (Argeneau, #2)",Lynsay Sands,4.1,26176,10,623
"Radiance (Riley Bloom, #1)",Alyson Noel,3.55,16494,8,623
Last Words,George Carlin,3.97,14725,10,623
"Curtsies & Conspiracies (Finishing School, #2)",Gail Carriger,4.13,28030,7,623
From Brexit to Brazil,John Richard Spencer,4.2,110,7,623
Honor,Elif Shafak,4.15,26034,7,623
"Heartstopper: Volume One (Heartstopper, #1)",Alice Oseman,4.42,877405,7,623
Dune (Dune #1),Frank Herbert,4.29,1614650,7,623
"J is for Judgment (Kinsey Millhone, #10)",Sue Grafton,4.03,56771,8,623
"The Fire Within (The Last Dragon Chronicles, #1)",Chris d'Lacey,3.81,32390,8,622
"Every Boy's Got One (Boy, #3)",Meg Cabot,3.76,24808,7,622
"The Broken Window (Lincoln Rhyme, #8)",Jeffery Deaver,4.1,22813,7,622
"The Last Templar (Templar, #1)",Raymond Khoury,3.62,45933,8,622
"The Magician's Land (The Magicians, #3)",Lev Grossman,4.14,82017,8,622
"Talons of Power (Wings of Fire, #9)",Tui T. Sutherland,4.49,26585,9,622
"The Big Over Easy (Nursery Crime, #1)",Jasper Fforde,3.94,34464,8,621
"Embrace the Night (Cassandra Palmer, #3)",Karen Chance,4.08,23279,10,621
"Gone (Wake, #3)",Lisa McMann,3.7,32215,8,621
I Will Wait for You: Eternal Bliss,Linda Masemore Pirrung,4.43,118,7,621
"Nemesis (Harry Hole, #4)",Jo Nesbø,3.98,79842,7,621
"Prince Lestat (The Vampire Chronicles, #11)",Anne Rice,3.85,24791,8,621
The Assistant,Elle Brace,3.95,3273,7,621
"The Hanging Tree (Rivers of London, #6)",Ben Aaronovitch,4.22,40097,7,621
The House on the Strand,Daphne du Maurier,3.82,14675,9,621
"The Friend Zone (The Friend Zone, #1)",Abby Jimenez,3.9,423458,8,621
Grit: The Power of Passion and Perseverance,Angela Duckworth,4.08,141024,7,621
"El príncipe cruel (Los habitantes del aire, #1)",Holly Black,4.01,1706423,7,621
"Teacher Man (Frank McCourt, #3)",Frank McCourt,3.76,39999,9,620
A Kiss Before Dying,Ira Levin,4.0,14403,8,620
If You Give a Moose a Muffin,Laura Numeroff,4.2,63706,10,620
"Bloodhound (Beka Cooper, #2)",Tamora Pierce,4.28,40028,9,620
That Summer,Sarah Dessen,3.46,58700,9,620
"Reboot (Reboot, #1)",Amy Tintera,3.88,34855,8,620
A Man,Oriana Fallaci,4.41,6747,7,620
Annabel Horton And The Black Witch of Pau (Book Two),Olivia Hardy Ray,4.33,136,7,620
"The Silent Wife (Will Trent, #10)",Karin Slaughter,4.23,79192,7,620
Against the Day,Thomas Pynchon,4.05,10194,7,619
Ex Libris: Confessions of a Common Reader,Anne Fadiman,4.09,14235,7,619
Relentless,Dean R. Koontz,3.78,18507,7,619
The Pilgrimage,Paulo Coelho,3.65,67816,7,619
com نسيان,Ahlam Mosteghanemi,3.67,29291,7,619
"Blindsight (Firefall, #1)",Peter Watts,4.01,53495,7,619
"The Bear and the Dragon  (John Clark, #3; Jack Ryan Universe, #11)",Tom Clancy,3.92,31876,10,619
"Brawn (New Species, #5)",Laurann Dohner,4.16,20359,10,619
Caim,José Saramago,3.97,33678,8,619
"Rock Chick Regret (Rock Chick, #7)",Kristen Ashley,4.52,32831,8,619
"Dumplin' (Dumplin', #1)",Julie   Murphy,3.88,91889,8,619
The Riddle (The Books of Pellinor #2),Alison Croggon,4.12,22207,9,618
Post Captain (Aubrey & Maturin #2),Patrick O'Brian,4.26,25138,10,618
The Great Train Robbery,Michael Crichton,3.89,34690,9,618
"Hamlet: Screenplay, Introduction And Film Diary",Kenneth Branagh,4.14,182236,8,618
Lalka,Bolesław Prus,3.84,27390,7,618
Ground Zero,Alan Gratz,4.34,26076,7,618
"Stalking Darkness (Nightrunner, #2)",Lynn Flewelling,4.26,16561,7,617
Cuore,Edmondo de Amicis,3.85,17976,8,617
Hero,Perry    Moore,3.86,18284,7,617
The Chronicles of Prydain,Lloyd Alexander,4.43,7750,9,617
"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,4.07,88314,7,617
"The Empty Chair (Lincoln Rhyme, #3)",Jeffery Deaver,4.09,33661,9,617
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.32,95758,7,617
Jonathan Abernathy You Are Kind,Molly McGhee,3.48,3019,7,617
"My Father's Dragon (My Father's Dragon, #1)",Ruth Stiles Gannett,4.11,41585,7,616
Fire Bringer,David Clement-Davies,4.2,14107,7,616
Lizard Music,Daniel Pinkwater,4.15,2209,7,616
"The Overlook (Harry Bosch, #13; Harry Bosch Universe, #18)",Michael    Connelly,4.01,56253,8,616
"Princess of the Silver Woods (The Princesses of Westfalin Trilogy, #3)",Jessica Day George,4.06,13788,9,616
"Dust (Silo, #3)",Hugh Howey,4.23,136162,8,616
Lady Windermere's Fan,Oscar Wilde,3.92,27062,9,616
"Greenglass House (Greenglass House, #1)",Kate Milford,4.0,28459,7,616
Wrong Place Wrong Time,Gillian McAllister,3.96,457392,7,616
Promises,Julie Mannino,4.31,45,7,616
"Sunset (Warriors: The New Prophecy, #6)",Erin Hunter,4.37,36596,10,615
Frindle,Andrew Clements,3.85,124945,10,615
"Skinwalker (Jane Yellowrock, #1)",Faith Hunter,3.94,39559,8,615
The Happy Prince,Oscar Wilde,4.19,37692,10,615
Life and Death in Shanghai,Nien Cheng,4.33,13986,8,615
Weird Things Customers Say in Bookshops,Jen Campbell,3.74,30413,7,615
Lies a River Deep,Vera Jane Cook,4.19,136,7,615
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,William H. McRaven,4.01,155705,7,615
"Women, Race & Class",Angela Y. Davis,4.59,34262,7,615
The Dictionary of Lost Words,Pip Williams,4.01,188326,7,615
"Among the Barons (Shadow Children, #4)",Margaret Peterson Haddix,4.09,24562,8,614
Holy Bible: New Living Translation,Anonymous,4.71,12717,7,614
Métaphysique des tubes,Amélie Nothomb,3.97,22836,8,614
"Peter Nimble and His Fantastic Eyes (Peter Nimble, #1)",Jonathan Auxier,4.12,12500,7,614
Thunderstruck,Erik Larson,3.78,56294,8,614
Dirt Music,Tim Winton,3.87,15521,7,614
"Open Season (Joe Pickett, #1)",C.J. Box,4.01,58347,8,614
Flash Boys: A Wall Street Revolt,Michael   Lewis,4.14,90245,7,614
"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,4.24,168571,8,614
Have Space Suit—Will Travel,Robert A. Heinlein,3.93,31276,9,613
Eaters of the Dead,Michael Crichton,3.72,46429,8,613
"One False Note (The 39 Clues, #2)",Gordon Korman,3.9,55068,9,613
"Crush (Crush, #1)",Lacey Weatherford,3.95,23737,7,613
"By the Shores of Silver Lake  (Little House, #5)",Laura Ingalls Wilder,4.18,82557,10,613
"Promise of Blood (Powder Mage, #1)",Brian  McClellan,4.13,63682,7,613
"The Gilded Ones (Deathless, #1)",Namina Forna,3.98,55629,7,613
Precious Bane,Mary Webb,4.23,4143,7,612
Fateful,Claudia Gray,3.88,11185,8,612
The Third Twin,Ken Follett,3.82,40772,8,612
The Tibetan Book of Living and Dying,Sogyal Rinpoche,4.21,32407,7,611
All Families are Psychotic,Douglas Coupland,3.7,14690,9,611
Illuminations,Arthur Rimbaud,4.32,13908,8,611
Mariana,Susanna Kearsley,4.08,26326,8,611
"Sweet Filthy Boy (Wild Seasons, #1)",Christina Lauren,3.96,59463,7,611
A Place Called Here,Cecelia Ahern,3.68,35909,7,611
The Wicked Deep,Shea Ernshaw,3.86,46942,7,611
"The Target (Will Robie, #3)",David Baldacci,4.18,65062,8,611
"This Woven Kingdom (This Woven Kingdom, #1)",Tahereh Mafi,3.94,99629,7,611
"One Corpse Too Many (Chronicles of Brother Cadfael, #2)",Ellis Peters,4.07,17848,8,611
Il cavaliere inesistente,Italo Calvino,3.82,25452,7,610
The Art of Seduction,Robert Greene,3.91,41689,7,610
"Flirt (Anita Blake, Vampire Hunter, #18)",Laurell K. Hamilton,3.76,36553,9,610
"Prodigal Son (Dean Koontz's Frankenstein, #1)",Dean Koontz,4.03,37524,7,610
"Separation of Power (Mitch Rapp, #5)",Vince Flynn,4.33,51709,8,610
Freedom At Midnight,Dominique Lapierre,4.33,11175,7,610
"Guardians of the West (The Malloreon, #1)",David Eddings,4.11,55632,7,610
Beware of Pity,Stefan Zweig,4.26,21491,8,610
"The Kept Woman (Will Trent, #8)",Karin Slaughter,4.15,84267,7,610
Broken Harbor (Dublin Murder Squad #4),Tana French,3.95,109693,8,610
"God of Fury (Legacy of Gods, #5)",Rina Kent,4.5,139060,7,610
"Fear Nothing (Moonlight Bay, #1)",Dean Koontz,4.0,39343,7,609
The Boys from Brazil,Ira Levin,4.05,40670,7,609
"The Assassin and the Underworld (Throne of Glass, #0.4)",Sarah J. Maas,4.31,60532,7,609
"City of Ghosts (Cassidy Blake, #1)",Victoria Schwab,3.87,76544,8,609
"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,3.88,442613,7,609
Main Street,Sinclair Lewis,3.78,26859,9,608
The Gay Science: With a Prelude in Rhymes and an Appendix of Songs,Friedrich Nietzsche,4.26,20410,7,608
هيبتا,محمد صادق,3.72,57472,7,608
Anya's Ghost,Vera Brosgol,3.9,93609,7,608
"Eado's Birth (Jack's Reign, #3)",Julie Mannino,4.88,32,7,608
Pictures of Hollis Woods,Patricia Reilly Giff,4.03,30575,8,607
"Sorceress of Darshiva (The Malloreon, #4)",David Eddings,4.11,48047,7,607
"The Bartimaeus Trilogy Boxed Set (Bartimaeus, #1-3)",Jonathan Stroud,4.44,6052,7,607
"The Complete Tales and Poems of Winnie-the-Pooh (Winnie-the-Pooh, #1-4)",A.A. Milne,4.38,393910,10,607
"Kerri's War (The King Trilogy, #3)",Stephen Douglass,3.86,1399,7,607
"Child of All Nations (Buru Quartet, #2)",Pramoedya Ananta Toer,4.44,7953,7,607
The Secret Place (Dublin Murder Squad #5),Tana French,3.85,94069,8,607
"Dynasty of Evil (Star Wars: Darth Bane, #3)",Drew Karpyshyn,4.32,24929,7,606
"Chloe's Purpose (Jack's Reign, #2)",Julie Mannino,4.85,34,7,606
Then We Came to the End,Joshua Ferris,3.46,36372,7,605
"Intertwined (Intertwined, #1)",Gena Showalter,3.87,18863,10,605
"Lost in Time (Blue Bloods, #6)",Melissa de la Cruz,4.04,28031,7,605
Richard II,William Shakespeare,3.78,27777,7,605
Fight Club 2,Chuck Palahniuk,3.05,9863,7,605
"Too Close For Comfort (Sgt. Windflower Mystery, #15)",Mike  Martin,4.46,289,7,605
Stasiland: Stories from Behind the Berlin Wall,Anna Funder,4.2,22193,7,604
"Roses (Roses, #2)",Leila Meacham,4.09,18322,7,604
You Against Me,Jenny Downham,3.69,18697,7,604
"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,4.25,210222,9,604
"The Doomsday Key (Sigma Force, #6)",James Rollins,4.18,31485,7,603
"Rama Revealed (Rama, #4)",Arthur C. Clarke,3.82,17759,8,603
Morning Glory,LaVyrle Spencer,4.27,16705,9,603
"The Darkest Surrender  (Lords of the Underworld, #8)",Gena Showalter,4.38,32828,9,603
"The Merchant's Daughter (Hagenheim, #2)",Melanie Dickerson,4.02,15940,8,603
Istanbul: Memories and the City,Orhan Pamuk,3.82,22117,7,603
We Begin at the End,Chris  Whitaker,4.18,170288,8,603
La metamorfosis,Franz Kafka,3.9,1406097,7,603
"Saving 6 (Boys of Tommen, #3)",Chloe Walsh,4.46,259119,7,603
"Sabotaged (The Missing, #3)",Margaret Peterson Haddix,3.93,12899,8,602
"Jackaby (Jackaby, #1)",William  Ritter,3.83,32263,7,602
"The Silent Corner (Jane Hawk, #1)",Dean Koontz,3.93,39726,7,602
"Furyborn (Empirium, #1)",Claire Legrand,3.78,56108,8,602
A Grief Observed,C.S. Lewis,4.22,95032,9,602
A Long Way Home,Saroo Brierley,4.12,67929,7,602
"Last to Die (Rizzoli & Isles, #10)",Tess Gerritsen,4.13,37369,7,602
Spare,Prince Harry,3.83,426058,8,602
An Anthropologist on Mars: Seven Paradoxical Tales,Oliver Sacks,4.15,23695,8,601
"Lilith's Brood (Xenogenesis, #1-3)",Octavia E. Butler,4.37,21884,7,601
"Ring (Ring, #1)",Kōji Suzuki,3.78,30590,8,601
"The Dark Days Club (Lady Helen, #1)",Alison Goodman,3.79,20333,7,601
The Wanting Seed,Anthony Burgess,3.72,6891,7,601
"Bound by Honor (Born in Blood Mafia Chronicles, #1)",Cora Reilly,3.75,126413,7,601
"Liar, Temptress, Soldier, Spy: Four Women Undercover in the Civil War",Karen Abbott,3.76,17118,7,601
Six Characters in Search of an Author,Luigi Pirandello,3.83,22477,7,601
Confessions of an Economic Hit Man,John Perkins,3.87,39480,8,600
The Devil's Arithmetic,Jane Yolen,4.03,61988,9,600
"Lost in a Good Book (Thursday Next, #2)",Jasper Fforde,4.13,56043,9,600
Revolting Rhymes,Roald Dahl,4.15,21822,7,600
"Slide, a Modern Satire on the Excess of Greed",Saira Viola,4.27,51,6,600
"Virgin River (Virgin River, #1)",Robyn Carr,4.01,79878,7,600
