Title,Author,Avg_Rating,Total_Ratings,Votes,Score
"The Girl Who Kicked the Hornet’s Nest (Millennium, #3)",Stieg Larsson,4.24,773849,673,52345
King Lear,William Shakespeare,3.91,236578,714,52307
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49,956008,575,52218
The Things They Carried,Tim O'Brien,4.14,343379,632,52217
"Foundation (Foundation, #1)",Isaac Asimov,4.17,593052,631,51564
"Delirium (Delirium, #1)",Lauren Oliver,3.95,478553,591,51470
White Oleander,Janet Fitch,4.0,365922,641,51442
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,4.0,707086,577,51085
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,4.47,670645,619,50627
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,4.4,663578,634,50528
Uncle Tom’s Cabin,Harriet Beecher Stowe,3.92,242075,701,50098
All the Light We Cannot See,Anthony Doerr,4.31,1956109,577,50070
Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,3.98,12030,507,50012
The Martian,Andy Weir,4.42,1276312,584,49706
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,4.29,1737715,529,49582
James and the Giant Peach,Roald Dahl,4.04,513794,692,49343
"The Once and Future King (The Once and Future King, #1-5)",T.H. White,4.07,117513,618,49229
Midnight Sun [2008 Draft],Stephenie Meyer,4.01,148877,578,49120
Paradise Lost,John Milton,3.85,181598,657,49006
I Know This Much Is True,Wally Lamb,4.21,325262,582,48684
"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,4.35,157897,649,48645
The Time Machine,H.G. Wells,3.89,562570,682,48562
Candide,Voltaire,3.76,300108,635,48254
The Complete Works,William Shakespeare,4.48,57634,627,48176
Invisible Man,Ralph Ellison,3.92,201359,613,48076
"Heidi (Heidi, #1-2)",Johanna Spyri,4.04,210676,669,48050
"Me Before You (Me Before You, #1)",Jojo Moyes,4.26,1790441,556,47861
The Historian,Elizabeth Kostova,3.8,276064,577,47793
Flow Down Like Silver,Ki Longfellow,4.01,4510,494,47789
Hamlet,William Shakespeare,4.03,1043629,596,47553
The Thirteenth Tale,Diane Setterfield,3.98,326044,576,47544
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,4.55,617014,525,47361
"Fourth Wing (The Empyrean, #1)",Rebecca Yarros,4.57,3429350,501,46846
"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,4.22,181456,524,46813
"Walden or, Life in the Woods",Henry David Thoreau,3.77,203620,621,46327
Leaves of Grass,Walt Whitman,4.11,116247,631,46220
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,4.21,565123,575,46206
"Are You There God? It’s Me, Margaret",Judy Blume,3.95,255050,617,46079
The Complete Maus,Art Spiegelman,4.58,252349,577,45994
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.06,479680,545,45941
Different Seasons,Stephen  King,4.36,220448,614,45851
